证券代码	证券名称	"总股本
[截止日期]2016-12-31
[单位]股"	"流通A股
[截止日期]2016-12-31
[单位]股"	"自由流通股本
[截止日期]2016-12-31
[单位]股"	"总股本
[截止日期]2016-09-30
[单位]股"	"流通A股
[截止日期]2016-09-30
[单位]股"	"自由流通股本
[截止日期]2016-09-30
[单位]股"	"总股本
[截止日期]2016-06-30
[单位]股"	"流通A股
[截止日期]2016-06-30
[单位]股"	"自由流通股本
[截止日期]2016-06-30
[单位]股"	"总股本
[截止日期]2015-12-31
[单位]股"	"流通A股
[截止日期]2015-12-31
[单位]股"	"自由流通股本
[截止日期]2015-12-31
[单位]股"	"总股本
[截止日期]2015-06-30
[单位]股"	"流通A股
[截止日期]2015-06-30
[单位]股"	"自由流通股本
[截止日期]2015-06-30
[单位]股"	"总股本
[截止日期]2014-12-31
[单位]股"	"流通A股
[截止日期]2014-12-31
[单位]股"	"自由流通股本
[截止日期]2014-12-31
[单位]股"	"总股本
[截止日期]2014-06-30
[单位]股"	"流通A股
[截止日期]2014-06-30
[单位]股"	"自由流通股本
[截止日期]2014-06-30
[单位]股"	"总股本
[截止日期]2013-12-31
[单位]股"	"流通A股
[截止日期]2013-12-31
[单位]股"	"自由流通股本
[截止日期]2013-12-31
[单位]股"	"总股本
[截止日期]2013-06-30
[单位]股"	"流通A股
[截止日期]2013-06-30
[单位]股"	"自由流通股本
[截止日期]2013-06-30
[单位]股"	"总股本
[截止日期]2012-12-31
[单位]股"	"流通A股
[截止日期]2012-12-31
[单位]股"	"自由流通股本
[截止日期]2012-12-31
[单位]股"	"总股本
[截止日期]2012-06-30
[单位]股"	"流通A股
[截止日期]2012-06-30
[单位]股"	"总股本
[截止日期]2011-12-31
[单位]股"	"流通A股
[截止日期]2011-12-31
[单位]股"	"总股本
[截止日期]2011-06-30
[单位]股"	"流通A股
[截止日期]2011-06-30
[单位]股"	"总股本
[截止日期]2010-12-31
[单位]股"	"流通A股
[截止日期]2010-12-31
[单位]股"	"总股本
[截止日期]2010-06-30
[单位]股"	"流通A股
[截止日期]2010-06-30
[单位]股"
601288.SH	农业银行	"324,794,117,000"	"294,055,293,904"	"38,227,188,208"	"324,794,117,000"	"294,055,293,904"	"38,227,188,208"	"324,794,117,000"	"294,055,293,904"	"38,227,188,208"	"324,794,117,000"	"294,055,293,904"	"38,227,188,208"	"324,794,117,000"	"294,055,293,904"	"26,464,976,451"	"324,794,117,000"	"284,163,529,197"	"25,969,787,336"	"324,794,117,000"	"284,163,529,197"	"25,969,787,336"	"324,794,117,000"	"284,163,529,197"	"25,969,787,336"	"324,794,117,000"	"25,570,588,000"	"25,172,603,435"	"324,794,117,000"	"25,570,588,000"	"25,231,414,493"	"324,794,117,000"	"25,570,588,000"	"324,794,117,000"	"20,456,470,500"	"324,794,117,000"	"15,342,353,000"	"324,794,117,000"	"15,342,353,000"	"270,000,000,000"	0
601311.SH	骆驼股份	"848,395,750"	"848,395,750"	"424,197,875"	"848,395,750"	"848,395,750"	"425,817,875"	"851,635,750"	"848,395,750"	"425,817,875"	"851,635,750"	"848,395,750"	"425,817,875"	"851,635,750"	"848,395,750"	"425,817,875"	"851,713,750"	"844,615,750"	"425,856,875"	"851,833,750"	"840,793,750"	"340,733,500"	"851,833,750"	"301,850,532"	"340,733,500"	"851,833,750"	"301,850,532"	"255,550,125"	"851,833,750"	"299,331,132"	"170,366,750"	"840,793,750"	"299,331,132"	"420,396,875"	"83,000,000"	"420,396,875"	"66,400,000"	——	——	——	——
601313.SH	江南嘉捷	"397,182,443"	"397,182,443"	"198,591,222"	"397,182,443"	"397,182,443"	"198,591,222"	"397,182,443"	"397,182,443"	"198,591,222"	"400,406,571"	"394,480,571"	"200,203,286"	"400,456,571"	"394,480,571"	"200,228,286"	"400,456,571"	"268,525,384"	"200,228,286"	"400,456,571"	"268,525,384"	"160,182,628"	"416,340,000"	"281,906,813"	"208,170,000"	"416,340,000"	"281,906,813"	"124,902,000"	"224,000,000"	"56,000,000"	"44,800,000"	"224,000,000"	"56,000,000"	"168,000,000"	0	——	——	——	——	——	——
601318.SH	中国平安	"18,280,241,410"	"10,832,664,498"	"10,832,664,498"	"18,280,241,410"	"10,832,664,498"	"10,832,664,498"	"18,280,241,410"	"10,832,664,498"	"10,832,664,498"	"18,280,241,410"	"10,832,664,498"	"10,832,664,498"	"9,140,120,705"	"5,416,332,249"	"5,416,332,249"	"8,892,169,892"	"5,168,381,436"	"4,786,483,896"	"7,916,148,535"	"4,786,416,079"	"4,786,409,636"	"7,916,142,092"	"4,786,409,636"	"4,786,409,636"	"7,916,142,092"	"4,786,409,636"	"3,350,486,745"	"7,916,142,092"	"4,786,409,636"	"3,350,486,745"	"7,916,142,092"	"4,786,409,636"	"7,916,142,092"	"4,786,409,636"	"7,916,142,092"	"4,786,409,636"	"7,644,142,092"	"4,786,409,636"	"7,644,142,092"	"4,786,409,636"
601328.SH	交通银行	"74,262,726,645"	"39,250,864,015"	"27,475,604,811"	"74,262,726,645"	"39,250,864,015"	"27,475,604,811"	"74,262,726,645"	"39,250,864,015"	"27,475,604,811"	"74,262,726,645"	"39,250,864,015"	"23,550,518,409"	"74,262,726,645"	"32,709,053,346"	"19,625,432,008"	"74,262,726,645"	"32,709,053,346"	"15,700,345,606"	"74,262,726,645"	"32,709,053,346"	"15,700,345,606"	"74,262,726,645"	"32,709,053,346"	"15,700,345,606"	"74,262,726,645"	"32,709,053,346"	"19,625,432,008"	"74,262,726,645"	"32,709,053,346"	"23,550,518,409"	"61,885,605,538"	"32,709,053,346"	"61,885,605,538"	"32,709,053,346"	"56,259,641,398"	"29,735,503,042"	"56,259,641,398"	"29,735,503,042"	"52,799,971,178"	"29,735,503,042"
601333.SH	广深铁路	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"3,391,342,200"	"7,083,537,000"	"5,652,237,000"	"2,826,118,500"	"7,083,537,000"	"5,652,237,000"	"2,826,118,500"	"7,083,537,000"	"5,377,438,300"	"7,083,537,000"	"5,377,438,300"	"7,083,537,000"	"5,377,438,300"	"7,083,537,000"	"5,377,438,300"	"7,083,537,000"	"5,377,438,300"
601336.SH	新华保险	"3,119,546,600"	"2,085,439,340"	"834,175,736"	"3,119,546,600"	"2,085,439,340"	"834,175,736"	"3,119,546,600"	"2,085,439,340"	"834,175,736"	"3,119,546,600"	"2,085,439,340"	"625,631,802"	"3,119,546,600"	"2,085,439,340"	"834,175,736"	"3,119,546,600"	"2,085,439,340"	"834,175,736"	"3,119,546,600"	"1,100,580,772"	"834,175,736"	"3,119,546,600"	"1,100,580,772"	"834,175,736"	"3,119,546,600"	"1,100,580,772"	"158,539,270"	"3,119,546,600"	"1,100,580,772"	"158,539,270"	"3,119,546,600"	"158,540,000"	"3,116,960,000"	"126,832,000"	——	——	——	——	——	——
601339.SH	百隆东方	"1,500,000,000"	"1,500,000,000"	"450,000,000"	"1,500,000,000"	"1,500,000,000"	"450,000,000"	"1,500,000,000"	"1,500,000,000"	"450,000,000"	"1,500,000,000"	"1,500,000,000"	"450,000,000"	"1,500,000,000"	"1,500,000,000"	"450,000,000"	"750,000,000"	"192,000,000"	"225,000,000"	"750,000,000"	"192,000,000"	"225,000,000"	"750,000,000"	"187,000,000"	"225,000,000"	"750,000,000"	"150,000,000"	"150,000,000"	"750,000,000"	"150,000,000"	"150,000,000"	"750,000,000"	"150,000,000"	——	——	——	——	——	——	——	——
601368.SH	绿城水务	"735,810,898"	"294,202,725"	"220,743,269"	"735,810,898"	"294,202,725"	"147,162,180"	"735,810,898"	"294,202,725"	"147,162,180"	"735,810,898"	"147,000,000"	"147,162,180"	"735,810,898"	"147,000,000"	"147,162,180"	"588,810,898"	——	——	"588,810,898"	——	——	"474,666,700"	——	——	"474,666,700"	——	——	"474,666,700"	——	——	"474,666,700"	——	"474,666,700"	——	"474,666,700"	——	"474,666,700"	——	——	——
601369.SH	陕鼓动力	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"655,508,093"	"1,638,770,233"	"1,638,770,233"	"491,631,070"	"1,638,770,233"	"553,101,925"	"491,631,070"	"1,638,770,233"	"553,101,925"	"1,638,770,233"	"553,101,925"	"1,638,770,233"	"553,101,925"	"1,092,513,489"	"109,251,349"	"1,092,513,489"	"87,402,000"
