日期	Wind代码	证券名称	权重
2017-03-28	000413	东旭光电	0.088000 
2017-03-28	000415	渤海金控	0.061000 
2017-03-28	000416	民生控股	0.023000 
2017-03-28	000417	合肥百货	0.023000 
2017-03-28	000418	小天鹅A	0.037000 
2017-03-28	000419	通程控股	0.013000 
2017-03-28	000420	吉林化纤	0.015000 
2017-03-28	000421	南京公用	0.012000 
2017-03-28	000422	湖北宜化	0.030000 
2017-03-28	000423	东阿阿胶	0.136000 
2017-03-28	000425	徐工机械	0.079000 
2017-03-28	000426	兴业矿业	0.025000 
2017-03-28	000428	华天酒店	0.014000 
2017-03-28	000429	粤高速A	0.018000 
2017-03-28	000430	张家界	0.011000 
2017-03-28	000488	晨鸣纸业	0.052000 
2017-03-28	000498	山东路桥	0.018000 
2017-03-28	000501	鄂武商A	0.033000 
2017-03-28	000502	绿景控股	0.012000 
2017-03-28	000503	海虹控股	0.141000 
2017-03-28	000506	中润资源	0.026000 
2017-03-28	000507	珠海港	0.021000 
2017-03-28	000509	华塑控股	0.020000 
2017-03-28	000510	金路集团	0.032000 
2017-03-28	000513	丽珠集团	0.035000 
2017-03-28	000514	渝开发	0.017000 
2017-03-28	000516	国际医学	0.057000 
2017-03-28	000517	荣安地产	0.017000 
2017-03-28	000518	四环生物	0.039000 
2017-03-28	000519	中兵红箭	0.045000 
2017-03-28	000520	长航凤凰	0.037000 
2017-03-28	000521	美菱电器	0.014000 
2017-03-28	000523	广州浪奇	0.017000 
2017-03-28	000524	岭南控股	0.009000 
2017-03-28	000525	红太阳	0.021000 
2017-03-28	000526	紫光学大	0.010000 
2017-03-28	000528	柳工	0.033000 
2017-03-28	000529	广弘控股	0.015000 
2017-03-28	000530	大冷股份	0.013000 
2017-03-28	000531	穗恒运A	0.019000 
2017-03-28	000532	力合股份	0.017000 
2017-03-28	000533	万家乐	0.023000 
2017-03-28	000534	万泽股份	0.018000 
2017-03-28	000536	华映科技	0.014000 
2017-03-28	000537	广宇发展	0.018000 
2017-03-28	000538	云南白药	0.183000 
2017-03-28	000539	粤电力A	0.023000 
2017-03-28	000540	中天城投	0.085000 
