代码	名称	细分行业	地区	上市日期
000795	英洛华	矿物制品	山西	19970808
000796	凯撒旅游	旅游服务	陕西	19970703
000797	中国武夷	全国地产	福建	19970715
000798	中水渔业	渔业	北京	19980212
000799	酒鬼酒	白酒	湖南	19970718
000800	一汽轿车	汽车整车	吉林	19970618
000801	四川九洲	通信设备	四川	19980506
000802	北京文化	旅游服务	北京	19980108
000803	*ST金宇	纺织	四川	19980303
000806	银河生物	生物制药	广西	19980416
000807	云铝股份	铝	云南	19980408
000809	铁岭新城	区域地产	辽宁	19980616
000810	创维数字	家用电器	四川	19980602
000811	烟台冰轮	工程机械	山东	19980528
000812	陕西金叶	广告包装	陕西	19980623
000813	德展健康	化学制药	新疆	19980519
000815	美利云	造纸	宁夏	19980609
000816	智慧农业	机械基件	江苏	19970818
000818	方大化工	化工原料	辽宁	19971017
000819	岳阳兴长	石油加工	湖南	19970625
000820	神雾节能	环境保护	辽宁	19980630
000821	京山轻机	轻工机械	湖北	19980626
000822	山东海化	化工原料	山东	19980703
000823	超声电子	元器件	广东	19971008
000825	太钢不锈	特种钢	山西	19981021
000826	启迪桑德	环境保护	湖北	19980225
000828	东莞控股	路桥	广东	19970617
000829	天音控股	其他商业	江西	19971202
000830	鲁西化工	农药化肥	山东	19980807
000831	*ST五稀	小金属	山西	19980911
000833	贵糖股份	造纸	广西	19981111
000835	长城动漫	影视音像	四川	19990625
000836	鑫茂科技	通信设备	天津	19970929
000837	秦川机床	机床制造	陕西	19980928
000838	财信发展	区域地产	北京	19970626
000839	中信国安	综合类	北京	19971031
000848	承德露露	软饮料	河北	19971113
000850	华茂股份	纺织	安徽	19981007
000851	高鸿股份	软件服务	贵州	19980609
000852	石化机械	化工机械	湖北	19981126
000856	*ST冀装	机械基件	河北	19980813
000858	五 粮 液	白酒	四川	19980427
000859	国风塑业	塑料	安徽	19981119
000860	顺鑫农业	白酒	北京	19981104
000861	海印股份	房产服务	广东	19981028
000862	银星能源	新型电力	宁夏	19980915
000863	三湘印象	区域地产	上海	19970925
000868	安凯客车	汽车整车	安徽	19970725
000869	张 裕Ａ	红黄药酒	山东	20001026
000875	吉电股份	火力发电	吉林	20020926
000876	新 希 望	饲料	四川	19980311
000877	天山股份	水泥	新疆	19990107
000878	云南铜业	铜	云南	19980602
000880	潍柴重机	机械基件	山东	19980402
000881	中广核技	综合类	辽宁	19980902
000882	华联股份	百货	北京	19980616
000883	湖北能源	火力发电	湖北	19980519
000885	同力水泥	水泥	河南	19990319
000886	海南高速	路桥	海南	19980123
000887	中鼎股份	橡胶	安徽	19981203
000888	峨眉山Ａ	旅游景点	四川	19971021
000889	茂业通信	通信设备	河北	19971218
000890	法 尔 胜	钢加工	江苏	19990119
000892	欢瑞世纪	影视音像	重庆	19990115
000893	东凌国际	食品	广东	19981224
000895	双汇发展	食品	河南	19981210
000897	津滨发展	区域地产	天津	19990422
000898	鞍钢股份	普钢	辽宁	19971225
000899	赣能股份	火力发电	江西	19971126
000900	现代投资	路桥	湖南	19990128
000901	航天科技	航空	黑龙江	19990401
000902	新洋丰	农药化肥	湖北	19990408
000903	云内动力	机械基件	云南	19990415
000905	厦门港务	港口	福建	19990429
000906	浙商中拓	批发业	湖南	19990707
000908	景峰医药	化学制药	湖南	19990203
000909	数源科技	综合类	浙江	19990507
000910	大亚圣象	家居用品	江苏	19990630
000911	南宁糖业	食品	广西	19990527
000912	泸天化	农药化肥	四川	19990603
000913	*ST钱江	摩托车	浙江	19990514
000915	山大华特	化学制药	山东	19990609
000916	华北高速	路桥	北京	19990927
000917	电广传媒	影视音像	湖南	19990325
000918	嘉凯城	全国地产	浙江	19990720
000919	金陵药业	化学制药	江苏	19991118
